AGE,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR
1-4,191.0,Mortality,7493614,All Races,2.5,Female,All Cancer Sites Combined,1999
1-4,1339.0,Incidence,7394181,All Races,18.1,Female,All Cancer Sites Combined,1999
1-4,57.0,Mortality,7493614,All Races,0.8,Female,Brain and Other Nervous System,1999
1-4,270.0,Incidence,7394181,All Races,3.7,Female,Brain and Other Nervous System,1999
1-4,156.0,Incidence,7394181,All Races,2.1,Female,Kidney and Renal Pelvis,1999
1-4,54.0,Mortality,7493614,All Races,0.7,Female,Leukemias,1999
1-4,536.0,Incidence,7394181,All Races,7.2,Female,Leukemias,1999
1-4,24.0,Incidence,7394181,All Races,0.3,Female,Liver and Intrahepatic Bile Duct,1999
1-4,41.0,Incidence,7394181,All Races,0.6,Female,Non-Hodgkin Lymphoma,1999
10-14,227.0,Mortality,9855664,All Races,2.3,Female,All Cancer Sites Combined,1999
10-14,1196.0,Incidence,9719801,All Races,12.3,Female,All Cancer Sites Combined,1999
10-14,66.0,Mortality,9855664,All Races,0.7,Female,Brain and Other Nervous System,1999
10-14,245.0,Incidence,9719801,All Races,2.5,Female,Brain and Other Nervous System,1999
10-14,105.0,Incidence,9719801,All Races,1.1,Female,Hodgkin Lymphoma,1999
10-14,77.0,Mortality,9855664,All Races,0.8,Female,Leukemias,1999
10-14,251.0,Incidence,9719801,All Races,2.6,Female,Leukemias,1999
10-14,41.0,Incidence,9719801,All Races,0.4,Female,Melanomas of the Skin,1999
10-14,77.0,Incidence,9719801,All Races,0.8,Female,Non-Hodgkin Lymphoma,1999
10-14,25.0,Incidence,9719801,All Races,0.3,Female,Oral Cavity and Pharynx,1999
10-14,68.0,Incidence,9719801,All Races,0.7,Female,Ovary,1999
10-14,62.0,Incidence,9719801,All Races,0.6,Female,Thyroid,1999
15-19,297.0,Mortality,9761569,All Races,3.0,Female,All Cancer Sites Combined,1999
15-19,1809.0,Incidence,9615370,All Races,18.8,Female,All Cancer Sites Combined,1999
15-19,46.0,Mortality,9761569,All Races,0.5,Female,Brain and Other Nervous System,1999
15-19,173.0,Incidence,9615370,All Races,1.8,Female,Brain and Other Nervous System,1999
15-19,27.0,Incidence,9615370,All Races,0.3,Female,Cervix,1999
15-19,23.0,Incidence,9615370,All Races,0.2,Female,Colon and Rectum,1999
15-19,17.0,Incidence,9615370,All Races,0.2,Female,Female Breast,1999
15-19,289.0,Incidence,9615370,All Races,3.0,Female,Hodgkin Lymphoma,1999
15-19,91.0,Mortality,9761569,All Races,0.9,Female,Leukemias,1999
15-19,209.0,Incidence,9615370,All Races,2.2,Female,Leukemias,1999
15-19,17.0,Incidence,9615370,All Races,0.2,Female,Lung and Bronchus,1999
15-19,159.0,Incidence,9615370,All Races,1.7,Female,Melanomas of the Skin,1999
15-19,21.0,Mortality,9761569,All Races,0.2,Female,Non-Hodgkin Lymphoma,1999
15-19,109.0,Incidence,9615370,All Races,1.1,Female,Non-Hodgkin Lymphoma,1999
15-19,33.0,Incidence,9615370,All Races,0.3,Female,Oral Cavity and Pharynx,1999
15-19,123.0,Incidence,9615370,All Races,1.3,Female,Ovary,1999
15-19,303.0,Incidence,9615370,All Races,3.2,Female,Thyroid,1999
20-24,404.0,Mortality,9098615,All Races,4.4,Female,All Cancer Sites Combined,1999
20-24,3033.0,Incidence,8967771,All Races,33.8,Female,All Cancer Sites Combined,1999
20-24,41.0,Mortality,9098615,All Races,0.5,Female,Brain and Other Nervous System,1999
20-24,178.0,Incidence,8967771,All Races,2.0,Female,Brain and Other Nervous System,1999
20-24,171.0,Incidence,8967771,All Races,1.9,Female,Cervix,1999
20-24,17.0,Mortality,9098615,All Races,0.2,Female,Colon and Rectum,1999
20-24,64.0,Incidence,8967771,All Races,0.7,Female,Colon and Rectum,1999
20-24,41.0,Incidence,8967771,All Races,0.5,Female,"Corpus and Uterus, NOS",1999
20-24,121.0,Incidence,8967771,All Races,1.3,Female,Female Breast,1999
20-24,28.0,Mortality,9098615,All Races,0.3,Female,Hodgkin Lymphoma,1999
20-24,411.0,Incidence,8967771,All Races,4.6,Female,Hodgkin Lymphoma,1999
20-24,31.0,Incidence,8967771,All Races,0.3,Female,Kidney and Renal Pelvis,1999
20-24,100.0,Mortality,9098615,All Races,1.1,Female,Leukemias,1999
20-24,174.0,Incidence,8967771,All Races,1.9,Female,Leukemias,1999
20-24,23.0,Incidence,8967771,All Races,0.3,Female,Liver and Intrahepatic Bile Duct,1999
20-24,27.0,Incidence,8967771,All Races,0.3,Female,Lung and Bronchus,1999
20-24,424.0,Incidence,8967771,All Races,4.7,Female,Melanomas of the Skin,1999
20-24,32.0,Mortality,9098615,All Races,0.4,Female,Non-Hodgkin Lymphoma,1999
20-24,168.0,Incidence,8967771,All Races,1.9,Female,Non-Hodgkin Lymphoma,1999
20-24,56.0,Incidence,8967771,All Races,0.6,Female,Oral Cavity and Pharynx,1999
20-24,18.0,Mortality,9098615,All Races,0.2,Female,Ovary,1999
20-24,140.0,Incidence,8967771,All Races,1.6,Female,Ovary,1999
20-24,632.0,Incidence,8967771,All Races,7.0,Female,Thyroid,1999
25-29,674.0,Mortality,9695967,All Races,7.0,Female,All Cancer Sites Combined,1999
25-29,5674.0,Incidence,9573296,All Races,59.3,Female,All Cancer Sites Combined,1999
25-29,73.0,Mortality,9695967,All Races,0.8,Female,Brain and Other Nervous System,1999
25-29,272.0,Incidence,9573296,All Races,2.8,Female,Brain and Other Nervous System,1999
25-29,62.0,Mortality,9695967,All Races,0.6,Female,Cervix,1999
25-29,700.0,Incidence,9573296,All Races,7.3,Female,Cervix,1999
25-29,33.0,Mortality,9695967,All Races,0.3,Female,Colon and Rectum,1999
25-29,181.0,Incidence,9573296,All Races,1.9,Female,Colon and Rectum,1999
25-29,153.0,Incidence,9573296,All Races,1.6,Female,"Corpus and Uterus, NOS",1999
25-29,86.0,Mortality,9695967,All Races,0.9,Female,Female Breast,1999
25-29,781.0,Incidence,9573296,All Races,8.2,Female,Female Breast,1999
25-29,63.0,Incidence,9573296,All Races,0.7,Female,"Female Breast, <i>in situ</i>",1999
25-29,35.0,Mortality,9695967,All Races,0.4,Female,Hodgkin Lymphoma,1999
25-29,411.0,Incidence,9573296,All Races,4.3,Female,Hodgkin Lymphoma,1999
25-29,61.0,Incidence,9573296,All Races,0.6,Female,Kidney and Renal Pelvis,1999
25-29,106.0,Mortality,9695967,All Races,1.1,Female,Leukemias,1999
25-29,212.0,Incidence,9573296,All Races,2.2,Female,Leukemias,1999
25-29,22.0,Incidence,9573296,All Races,0.2,Female,Liver and Intrahepatic Bile Duct,1999
25-29,19.0,Mortality,9695967,All Races,0.2,Female,Lung and Bronchus,1999
25-29,60.0,Incidence,9573296,All Races,0.6,Female,Lung and Bronchus,1999
25-29,24.0,Mortality,9695967,All Races,0.2,Female,Melanomas of the Skin,1999
25-29,754.0,Incidence,9573296,All Races,7.9,Female,Melanomas of the Skin,1999
25-29,40.0,Mortality,9695967,All Races,0.4,Female,Non-Hodgkin Lymphoma,1999
25-29,259.0,Incidence,9573296,All Races,2.7,Female,Non-Hodgkin Lymphoma,1999
25-29,78.0,Incidence,9573296,All Races,0.8,Female,Oral Cavity and Pharynx,1999
25-29,26.0,Mortality,9695967,All Races,0.3,Female,Ovary,1999
25-29,217.0,Incidence,9573296,All Races,2.3,Female,Ovary,1999
25-29,25.0,Mortality,9695967,All Races,0.3,Female,Stomach,1999
25-29,36.0,Incidence,9573296,All Races,0.4,Female,Stomach,1999
25-29,1000.0,Incidence,9573296,All Races,10.4,Female,Thyroid,1999
25-29,43.0,Incidence,9573296,All Races,0.4,Female,Urinary Bladder,1999
30-34,1372.0,Mortality,10249123,All Races,13.4,Female,All Cancer Sites Combined,1999
30-34,10243.0,Incidence,10131068,All Races,101.1,Female,All Cancer Sites Combined,1999
30-34,95.0,Mortality,10249123,All Races,0.9,Female,Brain and Other Nervous System,1999
30-34,321.0,Incidence,10131068,All Races,3.2,Female,Brain and Other Nervous System,1999
30-34,155.0,Mortality,10249123,All Races,1.5,Female,Cervix,1999
30-34,1307.0,Incidence,10131068,All Races,12.9,Female,Cervix,1999
30-34,93.0,Mortality,10249123,All Races,0.9,Female,Colon and Rectum,1999
30-34,374.0,Incidence,10131068,All Races,3.7,Female,Colon and Rectum,1999
30-34,341.0,Incidence,10131068,All Races,3.4,Female,"Corpus and Uterus, NOS",1999
30-34,350.0,Mortality,10249123,All Races,3.4,Female,Female Breast,1999
30-34,2788.0,Incidence,10131068,All Races,27.5,Female,Female Breast,1999
30-34,255.0,Incidence,10131068,All Races,2.5,Female,"Female Breast, <i>in situ</i>",1999
30-34,27.0,Mortality,10249123,All Races,0.3,Female,Hodgkin Lymphoma,1999
30-34,416.0,Incidence,10131068,All Races,4.1,Female,Hodgkin Lymphoma,1999
30-34,125.0,Incidence,10131068,All Races,1.2,Female,Kidney and Renal Pelvis,1999
30-34,118.0,Mortality,10249123,All Races,1.2,Female,Leukemias,1999
30-34,257.0,Incidence,10131068,All Races,2.5,Female,Leukemias,1999
30-34,19.0,Mortality,10249123,All Races,0.2,Female,Liver and Intrahepatic Bile Duct,1999
30-34,23.0,Incidence,10131068,All Races,0.2,Female,Liver and Intrahepatic Bile Duct,1999
30-34,62.0,Mortality,10249123,All Races,0.6,Female,Lung and Bronchus,1999
30-34,150.0,Incidence,10131068,All Races,1.5,Female,Lung and Bronchus,1999
30-34,60.0,Mortality,10249123,All Races,0.6,Female,Melanomas of the Skin,1999
30-34,1027.0,Incidence,10131068,All Races,10.1,Female,Melanomas of the Skin,1999
30-34,21.0,Incidence,10131068,All Races,0.2,Female,Myeloma,1999
30-34,71.0,Mortality,10249123,All Races,0.7,Female,Non-Hodgkin Lymphoma,1999
30-34,402.0,Incidence,10131068,All Races,4.0,Female,Non-Hodgkin Lymphoma,1999
30-34,155.0,Incidence,10131068,All Races,1.5,Female,Oral Cavity and Pharynx,1999
30-34,51.0,Mortality,10249123,All Races,0.5,Female,Ovary,1999
30-34,309.0,Incidence,10131068,All Races,3.1,Female,Ovary,1999
30-34,20.0,Mortality,10249123,All Races,0.2,Female,Pancreas,1999
30-34,41.0,Incidence,10131068,All Races,0.4,Female,Pancreas,1999
30-34,35.0,Mortality,10249123,All Races,0.3,Female,Stomach,1999
30-34,83.0,Incidence,10131068,All Races,0.8,Female,Stomach,1999
30-34,1426.0,Incidence,10131068,All Races,14.1,Female,Thyroid,1999
