YEAR,RACE,SEX,SITE,EVENT_TYPE,AGE_ADJUSTED_RATE,COUNT,POPULATION,CRUDE_RATE
2000,All Races,Female,Acute Lymphocytic,Incidence,1.3,1787.0,141865770,1.3
2000,All Races,Female,Acute Lymphocytic,Mortality,0.4,591.0,143719004,0.4
2001,All Races,Female,Acute Lymphocytic,Incidence,1.3,1839.0,143603977,1.3
2001,All Races,Female,Acute Lymphocytic,Mortality,0.4,644.0,145077463,0.4
2002,All Races,Female,Acute Lymphocytic,Incidence,1.3,1787.0,144919222,1.2
2002,All Races,Female,Acute Lymphocytic,Mortality,0.4,616.0,146394634,0.4
2003,All Races,Female,Acute Lymphocytic,Incidence,1.3,1810.0,147679036,1.2
2003,All Races,Female,Acute Lymphocytic,Mortality,0.4,574.0,147679036,0.4
2004,All Races,Female,Acute Lymphocytic,Incidence,1.3,1909.0,148977286,1.3
2004,All Races,Female,Acute Lymphocytic,Mortality,0.4,606.0,148977286,0.4
2005,All Races,Female,Acute Lymphocytic,Incidence,1.3,1880.0,150319521,1.3
2005,All Races,Female,Acute Lymphocytic,Mortality,0.4,653.0,150319521,0.4
2006,All Races,Female,Acute Lymphocytic,Incidence,1.3,1940.0,151732647,1.3
2006,All Races,Female,Acute Lymphocytic,Mortality,0.4,623.0,151732647,0.4
2007,All Races,Female,Acute Lymphocytic,Incidence,1.4,2072.0,153166353,1.4
2007,All Races,Female,Acute Lymphocytic,Mortality,0.4,605.0,153166353,0.4
2008,All Races,Female,Acute Lymphocytic,Incidence,1.4,2149.0,154604015,1.4
2008,All Races,Female,Acute Lymphocytic,Mortality,0.4,607.0,154604015,0.4
2009,All Races,Female,Acute Lymphocytic,Incidence,1.4,2120.0,155964075,1.4
2009,All Races,Female,Acute Lymphocytic,Mortality,0.4,596.0,155964075,0.4
2010,All Races,Female,Acute Lymphocytic,Incidence,1.4,2147.0,157249665,1.4
2010,All Races,Female,Acute Lymphocytic,Mortality,0.4,662.0,157249665,0.4
2011,All Races,Female,Acute Lymphocytic,Incidence,1.5,2332.0,158370501,1.5
2011,All Races,Female,Acute Lymphocytic,Mortality,0.4,659.0,158370501,0.4
2012,All Races,Female,Acute Lymphocytic,Incidence,1.4,2175.0,159480635,1.4
2012,All Races,Female,Acute Lymphocytic,Mortality,0.3,598.0,159480635,0.4
2013,All Races,Female,Acute Lymphocytic,Incidence,1.4,2138.0,160545893,1.3
2013,All Races,Female,Acute Lymphocytic,Mortality,0.4,625.0,160545893,0.4
2014,All Races,Female,Acute Lymphocytic,Incidence,1.4,2231.0,161690519,1.4
2014,All Races,Female,Acute Lymphocytic,Mortality,0.4,655.0,161690519,0.4
2015,All Races,Female,Acute Lymphocytic,Incidence,1.5,2339.0,162832151,1.4
2015,All Races,Female,Acute Lymphocytic,Mortality,0.3,633.0,162832151,0.4
2016,All Races,Female,Acute Lymphocytic,Incidence,1.5,2338.0,163986062,1.4
2016,All Races,Female,Acute Lymphocytic,Mortality,0.3,634.0,163986062,0.4
2017,All Races,Female,Acute Lymphocytic,Incidence,1.5,2338.0,165008683,1.4
2017,All Races,Female,Acute Lymphocytic,Mortality,0.4,674.0,165008683,0.4
2018,All Races,Female,Acute Lymphocytic,Incidence,1.6,2505.0,165877686,1.5
2018,All Races,Female,Acute Lymphocytic,Mortality,0.4,709.0,165877686,0.4
2019,All Races,Female,Acute Lymphocytic,Incidence,1.5,2405.0,166637617,1.4
2019,All Races,Female,Acute Lymphocytic,Mortality,0.3,655.0,166637617,0.4
2020,All Races,Female,Acute Lymphocytic,Incidence,1.5,2338.0,162239308,1.4
2020,All Races,Female,Acute Lymphocytic,Mortality,0.3,660.0,167227921,0.4
