STATE,AREA,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_RATE,FIPS
OH,OH: Adams County (39001),501.7,466.0,Incidence,69722.0,All Races,Female,All Cancer Sites Combined,2016-2020,668.4,39001
OH,OH: Adams County (39001),210.4,204.0,Mortality,69722.0,All Races,Female,All Cancer Sites Combined,2016-2020,292.6,39001
OH,OH: Adams County (39001),55.3,51.0,Incidence,69722.0,All Races,Female,Colon and Rectum,2016-2020,73.1,39001
OH,OH: Adams County (39001),28.4,27.0,Mortality,69722.0,All Races,Female,Colon and Rectum,2016-2020,38.7,39001
OH,OH: Adams County (39001),55.0,50.0,Incidence,69722.0,All Races,Female,"Corpus and Uterus, NOS",2016-2020,71.7,39001
OH,OH: Adams County (39001),111.9,104.0,Incidence,69722.0,All Races,Female,Female Breast,2016-2020,149.2,39001
OH,OH: Adams County (39001),22.1,23.0,Mortality,69722.0,All Races,Female,Female Breast,2016-2020,33.0,39001
OH,OH: Adams County (39001),24.9,21.0,Incidence,69722.0,All Races,Female,"Female Breast, <i>in situ</i>",2016-2020,30.1,39001
OH,OH: Adams County (39001),16.5,16.0,Incidence,69722.0,All Races,Female,Kidney and Renal Pelvis,2016-2020,22.9,39001
OH,OH: Adams County (39001),73.1,75.0,Incidence,69722.0,All Races,Female,Lung and Bronchus,2016-2020,107.6,39001
OH,OH: Adams County (39001),57.4,59.0,Mortality,69722.0,All Races,Female,Lung and Bronchus,2016-2020,84.6,39001
OH,OH: Adams County (39001),20.7,17.0,Incidence,69722.0,All Races,Female,Melanomas of the Skin,2016-2020,24.4,39001
OH,OH: Adams County (39001),16.5,17.0,Incidence,69722.0,All Races,Female,Non-Hodgkin Lymphoma,2016-2020,24.4,39001
OH,OH: Adams County (39001),552.7,500.0,Incidence,68698.0,All Races,Male,All Cancer Sites Combined,2016-2020,727.8,39001
OH,OH: Adams County (39001),289.2,255.0,Mortality,68698.0,All Races,Male,All Cancer Sites Combined,2016-2020,371.2,39001
OH,OH: Adams County (39001),52.6,47.0,Incidence,68698.0,All Races,Male,Colon and Rectum,2016-2020,68.4,39001
OH,OH: Adams County (39001),27.1,23.0,Mortality,68698.0,All Races,Male,Colon and Rectum,2016-2020,33.5,39001
OH,OH: Adams County (39001),21.9,18.0,Incidence,68698.0,All Races,Male,Kidney and Renal Pelvis,2016-2020,26.2,39001
OH,OH: Adams County (39001),125.6,122.0,Incidence,68698.0,All Races,Male,Lung and Bronchus,2016-2020,177.6,39001
OH,OH: Adams County (39001),113.3,105.0,Mortality,68698.0,All Races,Male,Lung and Bronchus,2016-2020,152.8,39001
OH,OH: Adams County (39001),32.6,27.0,Incidence,68698.0,All Races,Male,Melanomas of the Skin,2016-2020,39.3,39001
OH,OH: Adams County (39001),21.4,19.0,Incidence,68698.0,All Races,Male,Non-Hodgkin Lymphoma,2016-2020,27.7,39001
OH,OH: Adams County (39001),88.6,85.0,Incidence,68698.0,All Races,Male,Prostate,2016-2020,123.7,39001
OH,OH: Adams County (39001),524.8,966.0,Incidence,138420.0,All Races,Male and Female,All Cancer Sites Combined,2016-2020,697.9,39001
OH,OH: Adams County (39001),245.8,459.0,Mortality,138420.0,All Races,Male and Female,All Cancer Sites Combined,2016-2020,331.6,39001
OH,OH: Adams County (39001),54.5,98.0,Incidence,138420.0,All Races,Male and Female,Colon and Rectum,2016-2020,70.8,39001
OH,OH: Adams County (39001),27.9,50.0,Mortality,138420.0,All Races,Male and Female,Colon and Rectum,2016-2020,36.1,39001
OH,OH: Adams County (39001),55.0,50.0,Incidence,69722.0,All Races,Male and Female,"Corpus and Uterus, NOS",2016-2020,71.7,39001
OH,OH: Adams County (39001),19.3,34.0,Incidence,138420.0,All Races,Male and Female,Kidney and Renal Pelvis,2016-2020,24.6,39001
OH,OH: Adams County (39001),14.7,23.0,Incidence,138420.0,All Races,Male and Female,Leukemias,2016-2020,16.6,39001
OH,OH: Adams County (39001),10.8,18.0,Mortality,138420.0,All Races,Male and Female,Leukemias,2016-2020,13.0,39001
OH,OH: Adams County (39001),9.6,19.0,Incidence,138420.0,All Races,Male and Female,Liver and Intrahepatic Bile Duct,2016-2020,13.7,39001
OH,OH: Adams County (39001),11.6,21.0,Mortality,138420.0,All Races,Male and Female,Liver and Intrahepatic Bile Duct,2016-2020,15.2,39001
OH,OH: Adams County (39001),98.3,197.0,Incidence,138420.0,All Races,Male and Female,Lung and Bronchus,2016-2020,142.3,39001
OH,OH: Adams County (39001),82.9,164.0,Mortality,138420.0,All Races,Male and Female,Lung and Bronchus,2016-2020,118.5,39001
OH,OH: Adams County (39001),111.9,104.0,Incidence,69722.0,All Races,Male and Female,Male and Female Breast,2016-2020,149.2,39001
OH,OH: Adams County (39001),22.1,23.0,Mortality,69722.0,All Races,Male and Female,Male and Female Breast,2016-2020,33.0,39001
OH,OH: Adams County (39001),24.9,21.0,Incidence,69722.0,All Races,Male and Female,"Male and Female Breast, <i>in situ</i>",2016-2020,30.1,39001
OH,OH: Adams County (39001),26.1,44.0,Incidence,138420.0,All Races,Male and Female,Melanomas of the Skin,2016-2020,31.8,39001
OH,OH: Adams County (39001),18.6,36.0,Incidence,138420.0,All Races,Male and Female,Non-Hodgkin Lymphoma,2016-2020,26.0,39001
OH,OH: Adams County (39001),10.7,19.0,Mortality,138420.0,All Races,Male and Female,Non-Hodgkin Lymphoma,2016-2020,13.7,39001
OH,OH: Adams County (39001),19.2,34.0,Incidence,138420.0,All Races,Male and Female,Oral Cavity and Pharynx,2016-2020,24.6,39001
OH,OH: Adams County (39001),16.1,30.0,Incidence,138420.0,All Races,Male and Female,Pancreas,2016-2020,21.7,39001
OH,OH: Adams County (39001),12.7,24.0,Mortality,138420.0,All Races,Male and Female,Pancreas,2016-2020,17.3,39001
OH,OH: Adams County (39001),88.6,85.0,Incidence,68698.0,All Races,Male and Female,Prostate,2016-2020,123.7,39001
OH,OH: Adams County (39001),10.3,19.0,Incidence,138420.0,All Races,Male and Female,Stomach,2016-2020,13.7,39001
